DYH,FH,BAJG,load_time,fwcode,YSZBH,ID,ZH
1,3201,1780000,2026-08-02 18:27:17,70015372,20084012,70018846330100,4
2,3204,1750000,2026-08-02 18:27:17,70015379,20084012,70018853330100,4
1,302,894323,2026-08-02 18:27:17,10140256,2014000026,930567330100,1
1,303,966514,2026-08-02 18:27:17,10140257,2014000026,930568330100,1
1,304,982657,2026-08-02 18:27:17,10140258,2014000026,930569330100,1
2,301,931410,2026-08-02 18:27:17,10140259,2014000026,930570330100,1
2,302,947415,2026-08-02 18:27:17,10140260,2014000026,930571330100,1
2,303,954984,2026-08-02 18:27:17,10140261,2014000026,930572330100,1
2,304,931410,2026-08-02 18:27:17,10140262,2014000026,930573330100,1
1,401,999505,2026-08-02 18:27:17,10140263,2014000026,930574330100,1
1,402,1026702,2026-08-02 18:27:17,10140264,2014000026,930575330100,1
1,403,1039843,2026-08-02 18:27:17,10140265,2014000026,930576330100,1
1,404,931410,2026-08-02 18:27:17,10140266,2014000026,930577330100,1
2,401,931410,2026-08-02 18:27:17,10140267,2014000026,930578330100,1
2,402,977202,2026-08-02 18:27:17,10140268,2014000026,930579330100,1
2,403,905531,2026-08-02 18:27:17,10140269,2014000026,930580330100,1
2,404,953545,2026-08-02 18:27:17,10140270,2014000026,930581330100,1
1,501,1043270,2026-08-02 18:27:17,10140271,2014000026,930582330100,1
1,502,1031082,2026-08-02 18:27:17,10140272,2014000026,930583330100,1
1,503,1044224,2026-08-02 18:27:17,10140273,2014000026,930584330100,1
