地区,学校名称,收费类别和项目,学费
上城区,杭州市崇文实验学校,小学,26500元
上城区,杭州市时代小学,小学,22100元
上城区,杭州新世纪外国语学校,小学,25000元
上城区,杭州市建兰中学,初中,23000元
上城区,杭州市采荷实验学校,小学,18000元
上城区,杭州市采荷实验学校,初中,20000元
上城区,杭州国泰外语艺术学校,小学,9200元
上城区,杭州国泰外语艺术学校,初中,10500元
上城区,杭州国泰外语艺术学校,高中,11000元
上城区,杭州国泰外语艺术学校,住宿费,1800元
上城区,杭州培知学校,小学,2800元
上城区,杭州培知学校,初中,3100元
上城区,杭州市江干区御道学校,小学,2800元
上城区,杭州市江干区御道学校,初中,3100元
拱墅区,杭州长江实验小学,小学,18000元
拱墅区,杭州启正中学,初中,20000元
拱墅区,杭州观成实验学校,小学,20000元
拱墅区,杭州观成实验学校,初中,20000元
拱墅区,杭州观成实验学校,住宿费,3000元
拱墅区,杭州市文澜中学,初中,23000元
拱墅区,杭州市文澜中学,住宿费,3700元
拱墅区,杭州树兰中学,初中,13500元
拱墅区,杭州树兰中学,住宿费,2200元
拱墅区,杭州市大关小学,小学,10800元
拱墅区,杭州育才中学,初中,20000元
拱墅区,杭州市锦绣中学,初中,20000元
拱墅区,杭州市锦绣中学,住宿费,2200元
拱墅区,杭州锦绣·育才中学附属学校,小学,16000元
拱墅区,杭州锦绣·育才中学附属学校,初中,20000元
拱墅区,杭州育新高级中学（普通班）,高中,13000元
拱墅区,杭州育新高级中学（普通班）,住宿费,3900元
拱墅区,杭州育新高级中学（美术班）,高中,13500元
拱墅区,杭州育新高级中学（美术班）,住宿费,3900元
拱墅区,杭州上海世界外国语学校,小学,35000元
拱墅区,杭州上海世界外国语中学,初中,38000元
拱墅区,杭州上海世界外国语中学,住宿费,3900元
西湖区,杭州市钱塘外语学校,小学,13200元
西湖区,杭州东方中学（普通班）,初中,13000元
西湖区,杭州东方中学（普通班）,高中,13000元
西湖区,杭州东方中学（普通班）,住宿费,1800元
西湖区,杭州东方中学（特色班）,初中,13000元
西湖区,杭州东方中学（特色班）,高中,15000元
西湖区,杭州东方中学（特色班）,住宿费,1800元
西湖区,杭州市公益中学,初中,20000元
西湖区,杭州市公益中学,住宿费,2700元
西湖区,杭州市之江外语实验学校,小学,19100元
西湖区,杭州市育才外国语学校,小学,12000元
西湖区,杭州市育才外国语学校,住宿费,2000元
西湖区,杭州仁和外国语学校,初中,14900元
西湖区,杭州仁和外国语学校,高中,15000元
西湖区,杭州仁和外国语学校,住宿费,1950元
西湖区,杭州西子实验学校,小学,7000元
西湖区,杭州西子实验学校,初中,8000元
西湖区,杭州西子实验学校,高中,8500元
西湖区,杭州西子实验学校,住宿费,1000元
西湖区,杭州市之江实验中学,初中,19500元
西湖区,杭州市之江实验中学,住宿费,3300元
滨江区,杭州市滨江区多思学校,小学,3800元
滨江区,杭州市滨江区多思学校,初中,4500元
滨江区,杭州市滨江区滨虹学校,小学,3300元
滨江区,杭州市滨江区滨虹学校,初中,3600元
滨江区,杭州市滨江区滨兰学校,小学,17000元
滨江区,杭州市滨江区滨兰学校,初中,18000元
滨江区,杭州市滨江区滨兰学校,住宿费,3200元
滨江区,杭州二中白马湖学校,小学,26000元
滨江区,杭州二中白马湖学校,初中,20000元
滨江区,杭州二中白马湖学校,住宿费,4000元
钱塘区,杭州养正学校,小学,17500元
钱塘区,杭州养正学校,初中,20000元
钱塘区,杭州养正学校,住宿费,4200元
钱塘区,杭州市实验外国语学校,小学,22000元
钱塘区,杭州市实验外国语学校,初中,24000元
钱塘区,杭州市实验外国语学校,高中,13100元
钱塘区,杭州市实验外国语学校,住宿费,3200元
钱塘区,杭州东南中学,初中,13500元
钱塘区,杭州东南中学,住宿费,2000元
钱塘区,杭州市萧山区启慧学校,小学,2800元
钱塘区,杭州市萧山区启慧学校,初中,3100元
钱塘区,杭州大江东明珠学校,小学,2800元
钱塘区,杭州大江东明珠学校,初中,3100元
钱塘区,杭州高级中学教育集团启成学校,小学,16000元
钱塘区,杭州高级中学教育集团启成学校,初中,14800元
钱塘区,杭州高级中学教育集团启成学校,住宿费,3000元
钱塘区,杭州求是高级中学（普通班）,高中,13000元
钱塘区,杭州求是高级中学（普通班）,住宿费,3500元
钱塘区,杭州求是高级中学（美术班）,高中,13500元
钱塘区,杭州求是高级中学（美术班）,住宿费,3500元
市属,杭州绿城育华学校,小学,35000元
市属,杭州绿城育华学校,初中,17000元
市属,杭州绿城育华学校,高中,17500元
市属,杭州绿城育华学校,小学住宿费,5800元
市属,杭州绿城育华学校,初中住宿费,3500元
市属,杭州英才高级,高中,14500元
市属,杭州英才高级,住宿费,1800元
市属,杭州之江高级中学,高中,14500元
市属,杭州之江高级中学,住宿费,2200元
市属,杭州云谷学校,小学,65000元
市属,杭州云谷学校,初中,70000元
市属,杭州云谷学校,高中,100000元
市属,杭州云谷学校,住宿费,15000元
市属,杭州娃哈哈双语学校,小学,42000元
市属,杭州娃哈哈双语学校,初中,42000元
市属,杭州娃哈哈双语学校,高中,76000元
